community_id,community_size,dominant_experience_reference,reference_share_junior,reference_share_mid,reference_share_senior,top_title_keywords,rep_job_id_1,rep_text_1,rep_similarity_1,rep_job_id_2,rep_text_2,rep_similarity_2,rep_job_id_3,rep_text_3,rep_similarity_3,rep_job_id_4,rep_text_4,rep_similarity_4,rep_job_id_5,rep_text_5,rep_similarity_5,avg_min_years_extracted,avg_max_years_extracted,avg_has_years_mention,avg_junior_term_count,avg_mid_term_count,avg_senior_term_count,avg_has_leadership_terms,avg_has_ownership_terms,avg_has_strategy_terms,avg_has_support_terms,avg_requires_bachelor,avg_requires_master,avg_requires_phd,avg_requires_certification,avg_mentions_fast_paced,avg_mentions_deadlines,avg_mentions_independent_work,avg_mentions_client_management,avg_entry_barrier_score,avg_semantic_text_word_count
0,1858,mid,0.298,0.686,0.017,"nurse, registered, care, licensed, lpn, practical, nursing, per, days, assistant, unit, med",3884831783,rn registered nurse agency free facility [SEP] position details employment status full-timeshift day shift 1000 sign on bonus recent pay scale increase 35- 37.50 depending on experience. come and grow with us we are affiliated with life care centers of america which is a privately owned 47-year industry leader in healthcare with more than 200 locations across the u.s. we are currently seeking a qualified registered nurse to add to our team of professionals. we believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care. we believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams. we invites you to come and join our growing team. as,0.9132,3884832746,rn registered nurse [SEP] position details employment status full-timeshift night shift come meet our new leadership team come and grow with us we are affiliated with life care centers of america which is a privately owned 47-year industry leader in healthcare with more than 200 locations across the u.s. we are currently seeking a qualified registered nurse to add to our team of professionals. we believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care. we believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams. we invites you to come and join our growing team. as an important member of our interdisciplinary team the rn deliver,0.9048,3884835418,rn registered nurse 4 000 sign-on bonus [SEP] position details employment status full-timesalary 32.00 hourlyshift 11pm-7amstatus full-time live the mission come and grow with us we are affiliated with life care centers of america which is a privately owned 47-year industry leader in healthcare with more than 200 locations across the u.s. we are currently seeking a qualified registered nurse to add to our team of professionals. we believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care. we believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams. we invites you to come and join our growing team. as an important member of our in,0.9016,3884833593,rn registered nurse 4 000 sign-on bonus [SEP] position details employment status full-timesalary 32.00 hourlyshift 3pm-11pmstatus full-time live the mission come and grow with us we are affiliated with life care centers of america which is a privately owned 47-year industry leader in healthcare with more than 200 locations across the u.s. we are currently seeking a qualified registered nurse to add to our team of professionals. we believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care. we believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams. we invites you to come and join our growing team. as an important member of our in,0.9007,3884832790,rn registered nurse 4 000 sign-on bonus [SEP] position details employment status full-timesalary 32.00 hourlyshift 7am-3pmstatus full-time live the mission come and grow with us we are affiliated with life care centers of america which is a privately owned 47-year industry leader in healthcare with more than 200 locations across the u.s. we are currently seeking a qualified registered nurse to add to our team of professionals. we believe that every job in our company plays a vital role in our continued growth and commitment to provide quality patient care. we believe in providing our associates with opportunities to help them reach their maximum potential through working with strong multidisciplinary teams. we invites you to come and join our growing team. as an important member of our int,0.8994,2.912,3.326,0.165,1.466,0.895,0.679,0.303,0.321,0.379,0.679,0.164,0.043,0.008,0.882,0.008,0.02,0.114,0.368,2.17,504.443
1,1308,junior,0.492,0.44,0.068,"sales, manager, representative, salesperson, marketing, development, retail, business, outside, customer, specialist, director",3902790352,sales representative - packaging [SEP] job purpose our sales representative will be responsible for developing and executing the sales strategy for selling veritiv products and services within a designated geography or industry. duties include new business development maintaining customer relationships providing customer specific solutions and meeting established sales targets. this position requires a competitive and motivated spirit with the drive to solve problems. job responsibilities lead the strategy and implementation on selling products and value-added services to meet or exceed individual and company goals in an established territory.identify opportunities and present solutions offered by the organization that meet the customer s needsdevelop and implement a customer contact plan ,0.9019,3904417885,outside sales representative [SEP] the position of outside sales representative will be based out of our capitol heights md location summary the outside sales representative is responsible for the sales and marketing efforts with the objective of increased profitable sales through creating building and maintaining high quality relationships with new and existing customers. utilize company digital tools and company products and services to connect with consumers develop creative solutions generate sales volume and provide the highest level of customer service. what you ll do responsible for selling marketing promoting and demonstrating products. effectively communicate the features and benefits of our product offering increase business by generating sales to new customers and by selling add,0.8627,3895531974,customer service inside sales representative [SEP] description inside sales representativeposition summary this position is responsible for inbound sales lead follow-up as well as maintaining and growing our current customer base within a designated geographical territory. as an inside sales representative you will play a crucial role in developing current and new relationships with our customers and identifying product placement opportunities to grow sales within your territory. the person in this role will work closely with the regional sales manager food broker and category buyers to achieve yearly sales goals to maximize growth for all current and new accounts.duties and responsibilities desire to provide the highest level of customer service by addressing customer concerns and identif,0.8616,3894556398,sales representative - packaging [SEP] job purpose our sales representative will be responsible for developing and executing the sales strategy for selling veritiv products and services within a designated geography or industry. duties include new business development maintaining customer relationships providing customer specific solutions and meeting established sales targets. this position requires a competitive and motivated spirit with the drive to solve problems. job responsibilities sell and promote products and value-added services to meet or exceed individual and company goals in an established territory.develop and implement a customer contact plan to communicate product launches and engage the potential customers in relevant sales campaigns to build new relationships.identify opp,0.8612,3904505906,sales specialist [SEP] job descriptionjob summaryplay a crucial role in driving sales growth through engaging potential customers nurturing leads and converting them into sales opportunities. this position offers an exciting opportunity to contribute to the company s success while working in a fast-paced results oriented environment. major tasks responsibilities and key accountabilities proactively make outbound sales calls to an assigned list of 300 potential and existing accounts to drive sales growth. increase penetration within existing customers by increasing the number of categories sold. establish and maintain strong relationships with key decision-makers understanding their business challenges and objectives. utilize crm to manage customer interactions record sales activities and u,0.8598,5.102,5.852,0.202,1.581,1.646,2.296,0.425,0.495,0.624,0.761,0.292,0.067,0.003,0.224,0.015,0.071,0.166,0.965,3.324,530.222
2,1289,mid,0.2,0.711,0.088,"accountant, accounting, senior, manager, staff, specialist, controller, accounts, financial, payable, analyst, assistant",3906256333,staff accountant [SEP] position overview we are looking for a pro-active business professional to join our accounting team. the position is responsible for portions of the monthly close process balance sheet reconciliations general accounting and reporting functions and actively managing and fulfilling cross functional team requests. this position will supervise several office associates who perform some operational accounting functions. responsibilities include general month-end close processing / reporting. participation in annual budget process lead by fp a. ensuring compliance with company internal controls and policies. monthly operating variance analysis. fulfillment of external and internal financial audit and tax requests general ledger account reconciliations. customer and vendor ,0.9147,3901654418,staff accountant [SEP] responsibilitiesresponsible for managing and accessing assigned territory s p l accruals and coding identifies and investigates discrepancies advises unit on necessary adjustments.prepares and creates journal entries as necessary.prepares bank reconciliations and supporting schedules.plays a key role in the monthly quarterly and annual financial closing procedures.prepares accurate reliable and timely financial reports.analyzes variances in income statement and balance sheet accounts.confirms financial status by monitoring revenue and expenses coordinates consolidation and evaluation of financial data prepares special reports for accounting managerassists with assessment and implementation of internal controls including risk identification and prevention.prepares and,0.9002,3901473971,senior accountant [SEP] we are seeking a driven and process-oriented senior accountant to join our growing accounting team. this role will round out our internal accounting capabilities and financial controls and reports to the accounting team manager. locationremote in the united states responsibilitiessupport month-end close procedures including preparation of journal entries recording of month end accruals maintaining account reconciliations and variance and trend analysisanalyzing financial information to validate statements are complete and accurate.spot errors and suggest ways to improve efficiency and spending.assist with tax audits and tax returns.assist with the annual audit.ensure compliance with gaap principlesdevelop and document business processes and accounting policies to ma,0.894,3904965823,senior accountant [SEP] opportunitythis individual will manage all accounting functions including month/quarter/year-end statements bank and general ledger reconciliations preparation of financial statements modified cash basis accrual and gaap trial balance accounts payable and accounts receivable partner distributions and purchase and sale transaction accounting. creation of yearend tax preparation packages and integration of tax adjusting entries to current ledgers will be performed as well. responsibilitythe sr/staff accountant will be responsible for financial reporting of ten to twelve properties.maintain balance sheet reconciliations bank reconciliations and other supporting schedules. work with outside cpa firms and auditors.support onsite property management staff.review general l,0.8933,3904391813,staff accountant [SEP] we re seeking a staff accountant to join our client s team. if you re a numbers-savvy individual with a bachelor s degree in accounting or finance and at least 1 year of experience we want to hear from you. in this role you ll have the opportunity to apply your expertise in financial record-keeping analysis and compliance while working alongside a collaborative team of professionals. don t miss out on this exciting opportunity to grow your career apply today responsibilitiesperforming day-to-day accounting tasks such as recording transactions preparing journal entries and maintaining accurate financial records.assisting with the preparation of monthly quarterly and annual financial statements ensuring they adhere to gaap standards.assisting with the annual audit proc,0.8899,3.719,4.474,0.301,1.829,1.811,1.146,0.338,0.406,0.318,0.723,0.576,0.17,0.0,0.178,0.024,0.248,0.202,0.61,2.496,350.211
3,857,mid,0.448,0.543,0.009,"manager, store, assistant, sales, supervisor, service, lead, customer, retail, cashier, support, representative",3904988025,assistant store manager [SEP] what s the role about as part of our store team you ll be joining our century city stand alone on a full-time basis as our assistant store manager who is responsible for supporting the day-to-day running of the store and motivating team members to ensure all sales and operational goals are met and exceeded. who you are you ll have previous experience within a premium or luxury retail environmentexperienced in supervising and guiding a teamhave excellent communication and interpersonal skillshave excellent organisational and decision-making skillsability to work under pressure what you ll be doing delivering an exceptional customer service experiencesupporting the opening and closing of the storeinspiring the team to ensure sales targets are continuously metdel,0.8587,3891020791,assistant store manager [SEP] this position is responsible for assisting in the operation of a facility. an individual in this position will be expected to perform additional job related responsibilities and duties as assigned and/or as necessary. essential functions an individual must be able to successfully perform the essential functions of this position with or without a reasonable accommodation. leads and develops teams effectively by teaching training and actively listening to associates touring stores and providing feedback tour-toteach communicating and collaborating with all levels of associates regarding store operations utilizing technology business initiatives merchandising and company direction introducing and leading company change efforts providing clear expectations and gui,0.8551,3891266834,assistant store manager - houston tx [SEP] the assistant store manager is responsible for supporting the store manager in building james avery culture customer experience brand awareness and store operations. assists the store manager in working with associates to create a customer and product-focused sales culture to drive results and maximum profitability while ensuring our values are at the forefront of everything we do. this position is at our market square at eldridge location in houston tx. what you will be doing works with retail store manager to cultivate a positive uplifting work environment.assists the store manager in recruiting hiring and employee training and development.acts as a brand ambassador in the store and in the community develops and maintains key relationships that ,0.8515,3901988429,assistant store manager - white house black market [SEP] join our fashion-obsessed team dedicated to a styling and social experience that makes women feel beautiful. position objective the assistant store manager is responsible for supporting the store manager in promoting a customer and product-focused sales culture where our values and guiding principles are at the forefront of all store operations including managing sales operations asset protection and human resources functions to ensure great customer experience and maximum profitability. we love what we do and believe that with our teams we are the most amazing place to work learn and grow functional responsibilities performance culture analyzes sales reports and kpis to determine the needs of the business in partnership with store m,0.8464,3884826922,support associate - chico s [SEP] join our chic team dedicated to a styling and social experience that inspires women to express their individuality. position objective the support associate is responsible for supporting a customer and product-focused sales culture where our core principles are at the forefront of all store operations. this is achieved through performing various sales operations functions including merchandise handling stock processing and stockroom organization. we love what we do and believe that with our teams we are the most amazing place to work learn and grow functional responsibilities operational excellence processes merchandise ensuring items are properly stored ticketed and easily located for replenishment for the sales floor reorganizes merchandise as needed to ,0.8445,5.174,5.569,0.228,2.32,1.363,2.387,0.53,0.632,0.362,0.771,0.058,0.009,0.0,0.084,0.025,0.028,0.102,0.986,3.159,613.827
4,787,mid,0.166,0.785,0.048,"project, manager, construction, senior, engineer, superintendent, estimator, assistant, director, engineering, coordinator, management",3903466941,project manager [SEP] position summarythis position is responsible for managing the cost schedule and quality of assigned projects and ensuring they align with the company s policies and procedures. essential functionscultivates strong relationships with clients design partners and other key project stakeholders by addressing clients business drivers frequently visiting project sites and facilitating conversations with the project team.aids in the construction management process of assigned projects including but not limited to reviewing client contracts participating in the preconstruction and bidding process overseeing submittals and rfi processes coordinating purchases and resolving issues with subcontractors analyzing self-perform activities with respective groups and leading timely pr,0.9135,3905814708,construction project manager [SEP] job description position overview the project manager is the key person fully responsible for the coordination and management of a project from award to close-out. the project manager models and acts in accordance with dhrg s mission vision core values leadership competencies and norms. the following key accountabilities ensure the critical success of this position 60 coordinate and be accountable for all day-to-day operations and communication to ensure timely completion of the project and within budget. ensures timely initialization and completion of contract routing process participate in post award with complete understanding of project to delegate any necessary functions delegate buyout of subcontractors and materials and hold accountable for deliver,0.8933,3905255340,project manager [SEP] project manager 3 openingssemiconductor/data center constructionphoenix az relocation assistance available compensation 150k- 200k + 20 bonus + full benefits + relocation assistance company profile a rapidly growing electrical construction company specializing in industrial mission-critical water/wastewater treatment and semiconductor is adding 3 project managers to their team. there are 3 semiconductor projects starting in the summer and we actively recruiting pms to join the team they are the one of the industry leaders in virtual construction fabrication construction and facility commissioning always looking for people who share in the core values to better themselves and contribution to the mission of changing the construction industry as empowered though leaders ,0.8785,3904362235,project engineer [SEP] key responsibilitesassist d c managers in establishing project objectives and proceduresprocess schedule updates of construction projects and determine administrative requirementsinform supervisors promptly of any construction schedule changes and work closely with all stakeholders to ensure requirements are metoversee project databases and scheduling of projectsmanage compliance with standards and specifications for quality control and assurancemanage portions of the full project-plan lifecycle including budgets schedules project updates plans trade partners and track performance and completion of key goalsdocument and report project progress to stakeholder prepare agendas and minutes for d c manager review and then distributeprovide assistance over contracts and su,0.8724,3884917540,construction project manager [SEP] our client is seeking a project manager for their projects across the southeast. this individual will provide oversight direction and accountability to project teams developing multifamily build-to-rent projects. they will lead projects to completion on schedule and on budget. they will coordinate between design teams contractors and operation teams solving problems leading collaboration and driving progress and execution. the ability to communicate drive a schedule understand constructability and creatively problem-solve while representing their values. responsibilitiesdaily communication with contractors design team and key players involved in the projectability to communicate at a high level show good judgement and think critically to solve problems.co,0.8691,5.296,6.204,0.361,1.508,2.178,2.302,0.644,0.571,0.413,0.769,0.517,0.241,0.001,0.356,0.018,0.197,0.133,0.783,3.632,488.375
5,684,junior,0.779,0.218,0.003,"warehouse, driver, shift, store, operator, delivery, handler, 2nd, material, shipping, forklift, supervisor",3887909626,warehouse clerk 1st shift san antonio tx [SEP] work schedule 8 00 am- 5 00 pm m - f position overview must have computer skills - sap the role of the warehouse associate i is to select material handling equipment pallet jacks forklifts etc. within the warehouse walls to move and shift products and build customer orders. all customer orders are loaded onto delivery trucks to be delivered to customer locations. our warehouse associates are a key component in providing excellent service to our customers and in getting our variety of products in the hands of our customers. duties and responsibilities perform operations to load and unload freight in an efficient manner move product to storage areas with proper equipment and efficiently stack and store the product in the appropriate area. abilit,0.8831,3904572821,warehouse specialist [SEP] description mechanical dynamics and analysis llc. md a a world-class supplier of repairs services and parts supporting the ever-growing power generation industry. we are looking for an organized and motivated warehouse specialist to join our team. the ideal candidate is comfortable working on their feet focused on meeting quotas and is experienced in warehouse operations. you must be able to lift up to 75lbs operate a forklift pallet jack wood saws and an air-nailer. general knowledge and understanding of logistic preferred including international. passing a background and drug test is required in this role you will be responsible for the following prepare and complete orders for delivery or pickup according to schedule load pack wrap label ship receive and proce,0.8756,3905287382,warehouse associate - 1st shift [SEP] warehouse associate 3rd shift who we are looking for we are currently looking for a 1st shift warehouse associate with a safety mindset. you will be in a distribution center stocking counting and moving products. what you ll do deliver industry leading service to our customer by being actively engaged in your area of operationload and/or unload incoming and/or outgoing materials and productssort move palletized and bulk materials in and out of trailers flatbeds containers loading docks and storage racks/areaspacking wrapping of boxed/palletized goods with a quality focus on accurate counting and auditing of materialidentify/label materials/pallets and track their locations in the warehouse to maintain inventory accuracyprepare finished products for shi,0.8645,3902737408,warehouse associate inbound [SEP] shift details monday - friday 4 00 am- 12 30 pm or until the work is complete what warehouse operations contributes to cardinal healthoperations is responsible for materials handling and product distribution in a distribution or manufacturing environment. includes warehousing and fulfillment of materials and products transportation inventory management as well as demand supply and manufacturing planning.warehouse operations is responsible for performing/controlling a combination of manual or automated tasks necessary for the receipt storage and shipment of products. this may include functions of receiving picking packing shipping staging transporting storage delivery etc. also responsible for the efficient flow of products from the point of product receipt,0.8571,3905285692,warehouse associate - 2nd shift [SEP] warehouse associate 3rd shift who we are looking for we are currently looking for a 2nd shift warehouse associate with a safety mindset. you will be in a distribution center stocking counting and moving products. what you ll do deliver industry leading service to our customer by being actively engaged in your area of operationload and/or unload incoming and/or outgoing materials and productssort move palletized and bulk materials in and out of trailers flatbeds containers loading docks and storage racks/areaspacking wrapping of boxed/palletized goods with a quality focus on accurate counting and auditing of materialidentify/label materials/pallets and track their locations in the warehouse to maintain inventory accuracyprepare finished products for shi,0.8554,6.4,7.108,0.19,1.349,1.108,0.708,0.213,0.528,0.428,0.708,0.037,0.047,0.0,0.463,0.042,0.048,0.118,0.81,2.504,503.858
6,611,junior,0.712,0.283,0.005,"technician, maintenance, service, mechanic, shift, manager, tech, industrial, facilities, field, iii, supervisor",3904583262,maintenance technician [SEP] applied resource group is seeking a maintenance technician levels b c in the denver co. area. the maintenance technician is responsible for installing repairing and maintaining large industrial textile processing equipment as well as facility maintenance. tasks include start-up and shut-down procedures electrical troubleshooting maintaining and operating boilers welding and cutting hydraulics pneumatics mechanical and other systems. this position reports to the chief engineer. responsibilities installs repairs and performs preventative maintenance on industrial processing equipment water levels water systems and other equipment and systems.troubleshoots electrical issues.responds to daily maintenance requests in a timely fashion to minimize equipment downtime.p,0.907,3887700893,maintenance technician iii [SEP] about the role as a maintenance technician iii you will lead service technicians on the team in the installation and repair of automated packaging and distribution equipment. you will support the operations maintenance team in by designing solutions for difficult problems and managing projects. you will help train and mentor service and contract technicians. responsibilities include but are not limited to promote a safe working environment by following all safety proceduresmaintain and troubleshoot all conveyor systems in the buildinglead and audit preventative maintenance procedures. install maintain and troubleshoot relay logic ladder diagrams control components photo-eyes motor starters limit switches proximity sensors solenoids etc. create and close out,0.8852,3895521273,maintenance technician [SEP] about us at contech we play a vital role in building and maintaining america s essential infrastructure from drainage systems to bridges and stormwater management. join our team as a maintenance technician to be part of something meaningful and contribute to the backbone of the nation. why apply competitive wagesopportunities for overtimecomprehensive company-provided benefits including medical dental vision disability company-paid life and disability benefits paid vacation and 401k. about the role as a maintenance technician at contech you will play a crucial role in ensuring the continuous operation of our manufacturing equipment. tools and equipment used include concrete mixers stressing jacks cranes electric welder gas welding and burning equipment various ,0.8713,3903839970,mechanical maintenance technician trainee / tech i [SEP] would you like to join an international team working to improve the future of healthcare do you want to enhance the lives of millions of people grifols is a global healthcare company that since 1909 has been working to improve the health and well-being of people around the world. we are leaders in plasma-derived medicines and transfusion medicine and develop produce and market innovative medicines solutions and services in more than 110 countries and regions. summary the mechanical technician is responsible for routine preventive maintenance along with troubleshooting and corrective maintenance of plant equipment based on assigned areas of responsibility. dayshift monday friday 7-330 primary responsibilities include but are not limit,0.8703,3895595854,maintenance technician - 1st shift [SEP] the maintenance technician is responsible for the day-to-day operations of the manufacturing plant and assumes responsibility for maintaining the physical assets of the property. this position will be responsible for a wide variety of general building maintenance maintaining site services and manufacturing equipment repairs and services. maintenance technician responsibilities lead and execute day-to-day reliability excellence and maintenance activities for multiple properties ensuring policies and procedures are followed related to employee safety and food/feed safety. support proper maintenance and repair of all plant/buildings and grounds equipment to include troubleshooting preventive and predictive maintenance. upload download configure modify ,0.8702,3.591,4.492,0.296,1.548,1.876,0.972,0.275,0.417,0.393,0.648,0.052,0.056,0.0,0.484,0.018,0.029,0.151,0.565,2.376,504.185
7,553,mid,0.183,0.779,0.038,"data, engineer, analyst, senior, business, analytics, manager, architect, developer, intelligence, scientist, lead",3899523484,data engineer [SEP] a little about this gig agility partners is looking for a forward-thinking and collaborative data engineer to join a fortune 500 organization. this data engineer will join the data analytics organization collaborating with a compact group of specialized professionals including a business analyst and data modeler. this is an exciting opportunity to facilitate the integration of new data into existing reports and construct additional reports to meet the evolving needs of the business. in this role you will work across multiple teams such as project managers sap basis architecture and business usersmonitor pipeline performance and cost efficiencyperform data analysis required to troubleshoot data related issues and assist in the resolution of data issuescollaborate with an,0.9001,3903867896,data engineer - enterprise data and analytics human resources stream [SEP] what you ll do we re looking for a data engineer to join our enterprise data analytics space supporting and maintaining data products for principal s human resources value stream. in this role you ll apply your data engineering and analysis skills to provide innovative data solutions and drive business outcomes own technical aspects of data management functions including creating loading transforming cleansing processing analyzing and visualizing data.work directly or in support of data science/analytics to design develop test and integrate data from various source systems into large-scale easily consumable data platforms used for providing insights that promotes business growth and efficiency. build data solution d,0.8813,3901374554,data engineer [SEP] we are seeking a data engineer to assist with ongoing deliverables in a large retail setting. required skills data factorylog analyticsdatabrickssynapsepower bi job duties designs codes tests and implements data movement dashboarding and analytical assets develops system documentation according to safe agile principles and industry standards.evaluates architectural options and defines overall architecture of enterprise data lake and data warehouse.providing subject matter expertise and technical consulting support on either vendor or internal applications and interfaces including azure - data factory log analytics databricks synapse power bi adls gen2.defines functional and non-functional requirements including performance monitoring alerting and code management and ens,0.8718,3902752575,senior data analyst [SEP] as one of our senior data analysts of our global data team you will work closely with the expense team and stakeholders from across the business including engineers sales marketing finance and operations to define the data needs and products which will drive the business forward. the ideal candidate will be extremely curious independent knowledgeable about data and will use their data skills and business mindset to make a difference every day. we are looking for people who can operate at a company that grows as fast as ours by dealing with multiple moving pieces while still holding up quality long-term thinking and delivering value to our customers. we take great pride in our diversity of backgrounds cultures and perspectives and we strongly believe this is helpin,0.8614,3887714495,senior data warehouse engineer [SEP] magnify talent solutions has an exciting new role looking for a senior data warehouse engineer our client is in the data solutions industry that partners with name brand organizations throughout the us they have an exciting opportunity for an experienced senior data engineer to join their team and lead data efforts around their data processing environment. management of engineering assets automated deployment and statistical process controls. technical skills responsibilities work closely with engineering teams to collect data from internal and external systems.lead essential discussions with technical and non-technical colleagues to understand data and reporting requirements.analyze the business needs profile large data sets and build custom data model,0.8551,4.611,5.653,0.474,2.081,3.362,2.494,0.465,0.387,0.497,0.783,0.454,0.282,0.016,0.103,0.02,0.105,0.166,0.665,3.163,502.765
8,482,mid,0.168,0.724,0.108,"account, executive, manager, sales, senior, business, development, director, enterprise, marketing, representative, specialist",3886875092,strategic account executive [SEP] you a highly experienced us-based salesperson with a consultative sales approach and a successful track record in onboarding and growing strategic or enterprise customers. the roleprolific is looking for a us-based strategic account manager to drive customer adoption and growth within our fastest-growing market the us. you will work in a small cross-functional pod alongside solutions engineers customer success managers and growth and customer marketing and lead their efforts to land and expand in a defined list of our ai training customers in the us. this is a huge opportunity to make an impact on a key company objective within a well-funded scaleup driving growth in our fastest-growing market where we are well positioned to add incredible value to frontie,0.8548,3894288882,account executive [SEP] we are seeking a highly motivated individual to join our team as an account executive. the ideal candidate is a hungry self-starter with a passion for qualifying and effectively demonstrating our solutions. success in this role requires resilience integrity and the ability to perceive no as not yet. this position has a unique aspect requiring a multi-channel focus and sales acumen in field service managment software. we serve a diverse range of industries including hvac plumbing electrical appliance repair pest control and locksmith services catering to smbs and enterprise customers across various markets. primary responsibilities deliver compelling and effective demonstrations that highlight the value and capabilities of our solutions. acquire new customers through,0.8519,3906250575,strategic account manager [SEP] overview as a strategic account manager at symquest you are the customer facing outbound technology evangelist responsible for driving growth within a defined territory. you have the entrepreneurial spirit to construct your sales plan and the drive and skill to execute to its maximum potential. you excel in gaining mind-share from net new prospects and have the ethics and desire to become a top tier technical services sales professional. responsibilities identify cultivate and close both opportunities for managed on-going support services agreements with prospects as well as projects addressing client challenges with email and messaging security bc/dr on-premise and cloud-based networks server and endpoint infrastructure and application development.next-gen ,0.8486,3904953696,sr. account executive [SEP] about our clientour mission is to power automated communication that people like to receive. today over 7 600 internet businesses use our platform to manage send and track the performance of emails sms push notifications and in-app messages. unlike typical marketing platforms we help businesses increase relevance by using behavioral data what people do or don t do when logged into a web or mobile app. about the roleour client is looking for a motivated experienced and successful sr. account executive to join our growing sales team to support our next stage of growth. as a sr. account executive you ll represent the hiring company to our largest prospective customers. this is a full-cycle sales role prospect demo close . in addition to sourcing opportunities with ,0.8436,3905889278,regional account executive [SEP] our opportunity we are looking for a regional account executive to join our team here at fetch. in this role you will be responsible for nurturing relationships with current customers driving customer success and expansion and seeking out new customers in your assigned region. your ability to understand customer needs and develop strategic solutions will be key to fostering client satisfaction and achieving sales targets. what you ll do manage and grow existing customer relationships ensuring high levels of customer satisfaction and loyalty.identify opportunities for expanding partnerships with existing clients positioning our service to match their ongoing needs.develop and execute regional sales strategies to attract and acquire new customers.conduct regu,0.8393,4.516,5.168,0.322,1.656,1.83,2.898,0.562,0.564,0.658,0.722,0.382,0.156,0.006,0.137,0.023,0.095,0.239,0.954,3.969,535.641
9,472,mid,0.169,0.822,0.008,"banker, personal, teller, relationship, client, roving, financial, district, center, branch, manager, banking",3895549329,associate personal banker bayview hunters point [SEP] why wells fargo are you ready for the next step in your career this is where it begins - at a company known for our well life approach to supporting employees career aspirations work-life balance and mental and physical health. we ranked #2 on the 2023 linkedin top companies list - and #1 among financial services companies - as the best workplace to grow your career in the u.s. we re especially proud of our tangible meaningful commitment to diversity equity and inclusion in the workplace. when it comes to employees financial health we offer competitive salaries and generous benefits package. apply today. about this role wells fargo is seeking an associate personal banker safe for our national branch network as part of the consumer small,0.9039,3888950137,personal banker- roving northeast metro phoenix [SEP] why wells fargo are you ready for the next step in your career this is where it begins - at a company known for our well life approach to supporting employees career aspirations work-life balance and mental and physical health. we ranked #2 on the 2023 linkedin top companies list - and #1 among financial services companies - as the best workplace to grow your career in the u.s. we re especially proud of our tangible meaningful commitment to diversity equity and inclusion in the workplace. when it comes to employees financial health we offer competitive salaries and generous benefits package. apply today. about this role wells fargo is seeking an associate personal banker safe for our national branch network as part of the consumer small,0.9033,3905376298,associate personal banker - marion main [SEP] why wells fargo are you ready for the next step in your career this is where it begins - at a company known for our well life approach to supporting employees career aspirations work-life balance and mental and physical health. we ranked #2 on the 2023 linkedin top companies list - and #1 among financial services companies - as the best workplace to grow your career in the u.s. we re especially proud of our tangible meaningful commitment to diversity equity and inclusion in the workplace. when it comes to employees financial health we offer competitive salaries and generous benefits package. apply today. about this role wells fargo is seeking an associate personal banker safe for branch banking as part of the consumer and small business banking,0.9024,3895546828,personal banker - roving des moines northeast [SEP] why wells fargo are you ready for the next step in your career this is where it begins - at a company known for our well life approach to supporting employees career aspirations work-life balance and mental and physical health. we ranked #2 on the 2023 linkedin top companies list - and #1 among financial services companies - as the best workplace to grow your career in the u.s. we re especially proud of our tangible meaningful commitment to diversity equity and inclusion in the workplace. when it comes to employees financial health we offer competitive salaries and generous benefits package. apply today. about this role wells fargo is seeking an associate personal banker safe for our national branch network as part of the consumer small b,0.8991,3895546836,personal banker - roving des moines northeast [SEP] why wells fargo are you ready for the next step in your career this is where it begins - at a company known for our well life approach to supporting employees career aspirations work-life balance and mental and physical health. we ranked #2 on the 2023 linkedin top companies list - and #1 among financial services companies - as the best workplace to grow your career in the u.s. we re especially proud of our tangible meaningful commitment to diversity equity and inclusion in the workplace. when it comes to employees financial health we offer competitive salaries and generous benefits package. apply today. about this role wells fargo is seeking an associate personal banker safe for our national branch network as part of the consumer small b,0.8991,2.067,2.267,0.222,3.436,0.915,1.15,0.46,0.447,0.252,0.945,0.248,0.036,0.002,0.129,0.011,0.059,0.189,0.998,2.544,766.294
