community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
425,30,mid,moderate_entry_barrier,Finance & Operations,"['Financial Analysis', 'Operations Management', 'Cost Analysis']","['Leadership', 'Strategic Planning']",high,0.667,1.0,0.667,0.778,3,"financial, analyst, finance, manager, senior, chief, officer, plant, systems, cost, vice, president","[{""community_id"": 425, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Finance & Operations"", ""defining_skills"": [""Financial Analysis"", ""Operations Management"", ""Cost Analysis""], ""defining_responsibility_signals"": [""Leadership"", ""Strategic Planning""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 425, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Finance & Operations\"", \""defining_skills\"": [\""Financial Analysis\"", \""Operations Management\"", \""Cost Analysis\""], \""defining_responsibility_signals\"": [\""Leadership\"", \""Strategic Planning\""] , \""confidence\"": \""high\""}""}, {""community_id"": 425, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Finance & Operations"", ""defining_skills"": [""Financial Analysis"", ""Operations Management"", ""Cost Analysis""], ""defining_responsibility_signals"": [""Leadership"", ""Strategic Planning""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 425, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Finance & Operations\"", \""defining_skills\"": [\""Financial Analysis\"", \""Operations Management\"", \""Cost Analysis\""], \""defining_responsibility_signals\"": [\""Leadership\"", \""Strategic Planning\""] , \""confidence\"": \""high\""}""}, {""community_id"": 425, ""dominant_experience_level"": ""senior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Finance Executive"", ""defining_skills"": [""financial_analysis"", ""strategic_planning"", ""leadership""], ""defining_responsibility_signals"": [""executive_leadership"", ""strategic_decision_making""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 425, \""dominant_experience_level\"": \""senior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Finance Executive\"", \""defining_skills\"": [\""financial_analysis\"", \""strategic_planning\"", \""leadership\""], \""defining_responsibility_signals\"": [\""executive_leadership\"", \""strategic_decision_making\""] , \""confidence\"": \""high\""}""}]",18
426,30,mid,moderate_entry_barrier,Executive Administrative Assistants,"['collaboration', 'outlook', 'project_management']","['collaboration', 'technical_support']",high,1.0,1.0,0.333,0.778,3,"assistant, administrative, executive, admin, administrator, senior, support, sci, office, somerset, collaboration, technical","[{""community_id"": 426, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Executive Administrative Assistants"", ""defining_skills"": [""outlook"", ""project_management"", ""event_management""], ""defining_responsibility_signals"": [""collaboration"", ""technical_support""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 426, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Executive Administrative Assistants\"", \""defining_skills\"": [\""outlook\"", \""project_management\"", \""event_management\""], \""defining_responsibility_signals\"": [\""collaboration\"", \""technical_support\""] , \""confidence\"": \""high\""}""}, {""community_id"": 426, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Executive Assistant"", ""defining_skills"": [""collaboration"", ""technical support"", ""administrative tasks""], ""defining_responsibility_signals"": [""career advancement"", ""teamwork""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 426, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Executive Assistant\"", \""defining_skills\"": [\""collaboration\"", \""technical support\"", \""administrative tasks\""], \""defining_responsibility_signals\"": [\""career advancement\"", \""teamwork\""] , \""confidence\"": \""high\""}""}, {""community_id"": 426, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Executive Assistants"", ""defining_skills"": [""administrative"", ""executive"", ""collaboration""], ""defining_responsibility_signals"": [""support"", ""technical""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 426, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Executive Assistants\"", \""defining_skills\"": [\""administrative\"", \""executive\"", \""collaboration\""], \""defining_responsibility_signals\"": [\""support\"", \""technical\""] , \""confidence\"": \""high\""}""}]",18
427,30,mid,moderate_entry_barrier,Customer Service,"['customer service', 'client support', 'dedicated assistance']","['customer greeting', 'service provision']",high,1.0,1.0,1.0,1.0,3,"customer, representative, service, manager, assistant, credit, specialist, support, client, services, dedicated, transportation","[{""community_id"": 427, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Customer Service"", ""defining_skills"": [""customer service"", ""client support"", ""service management""], ""defining_responsibility_signals"": [""customer greeting"", ""service provision""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 427, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Customer Service\"", \""defining_skills\"": [\""customer service\"", \""client support\"", \""service management\""], \""defining_responsibility_signals\"": [\""customer greeting\"", \""service provision\""] , \""confidence\"": \""high\""}""}, {""community_id"": 427, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Customer Service"", ""defining_skills"": [""customer service"", ""client support"", ""dedicated assistance""], ""defining_responsibility_signals"": [""provide customer service"", ""monitor work volume""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 427, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Customer Service\"", \""defining_skills\"": [\""customer service\"", \""client support\"", \""dedicated assistance\""], \""defining_responsibility_signals\"": [\""provide customer service\"", \""monitor work volume\""] , \""confidence\"": \""high\""}""}, {""community_id"": 427, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Customer Service"", ""defining_skills"": [""customer service"", ""client support"", ""dedicated assistance""], ""defining_responsibility_signals"": [""customer greeting"", ""service monitoring""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 427, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Customer Service\"", \""defining_skills\"": [\""customer service\"", \""client support\"", \""dedicated assistance\""], \""defining_responsibility_signals\"": [\""customer greeting\"", \""service monitoring\""] , \""confidence\"": \""high\""}""}]",18
428,30,junior,moderate_entry_barrier,Hotel Operations Management,"['sales', 'leadership', 'customer_service']","['strategic_financial_management', 'departmental_supervision']",high,1.0,1.0,0.667,0.889,3,"sales, director, attendant, rooms, guest, manager, specialist, supervisor, coordinator, oem, assistant, hotel","[{""community_id"": 428, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hotel Operations"", ""defining_skills"": [""sales"", ""guest management"", ""room management""], ""defining_responsibility_signals"": [""day-to-day operations"", ""activity management""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 428, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hotel Operations\"", \""defining_skills\"": [\""sales\"", \""guest management\"", \""room management\""], \""defining_responsibility_signals\"": [\""day-to-day operations\"", \""activity management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 428, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hotel Operations Management"", ""defining_skills"": [""sales"", ""leadership"", ""customer_service""], ""defining_responsibility_signals"": [""strategic_financial_management"", ""departmental_supervision""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 428, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hotel Operations Management\"", \""defining_skills\"": [\""sales\"", \""leadership\"", \""customer_service\""], \""defining_responsibility_signals\"": [\""strategic_financial_management\"", \""departmental_supervision\""] , \""confidence\"": \""high\""}""}, {""community_id"": 428, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Hotel Operations Management"", ""defining_skills"": [""sales"", ""leadership"", ""customer_service""], ""defining_responsibility_signals"": [""strategic_financial_management"", ""departmental_supervision""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 428, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Hotel Operations Management\"", \""defining_skills\"": [\""sales\"", \""leadership\"", \""customer_service\""], \""defining_responsibility_signals\"": [\""strategic_financial_management\"", \""departmental_supervision\""] , \""confidence\"": \""high\""}""}]",18
429,30,junior,moderate_entry_barrier,Controls Engineer,"['automation', 'sheet metal fabrication', 'process improvement']","['lead development', 'implement manufacturing process']",high,1.0,1.0,0.333,0.778,3,"engineer, project, controls, manager, electrical, mechanical, architect, management, design, senior, program, construction","[{""community_id"": 429, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Controls Engineer"", ""defining_skills"": [""automation"", ""sheet metal fabrication"", ""process improvement""], ""defining_responsibility_signals"": [""lead development"", ""implement manufacturing process""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 429, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Controls Engineer\"", \""defining_skills\"": [\""automation\"", \""sheet metal fabrication\"", \""process improvement\""], \""defining_responsibility_signals\"": [\""lead development\"", \""implement manufacturing process\""] , \""confidence\"": \""high\""}""}, {""community_id"": 429, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""BIM Design"", ""defining_skills"": [""Revit"", ""Electrical Design"", ""2D/3D Modeling""], ""defining_responsibility_signals"": [""Design Experience"", ""Long-term Growth""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 429, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""BIM Design\"", \""defining_skills\"": [\""Revit\"", \""Electrical Design\"", \""2D/3D Modeling\""], \""defining_responsibility_signals\"": [\""Design Experience\"", \""Long-term Growth\""] , \""confidence\"": \""high\""}""}, {""community_id"": 429, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Mechanical Project Engineer"", ""defining_skills"": [""project management"", ""mechanical design"", ""solidworks, autocad, revit""], ""defining_responsibility_signals"": [""lead and manage projects"", ""oversee design and implementation of mechanical systems""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 429, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Mechanical Project Engineer\"", \""defining_skills\"": [\""project management\"", \""mechanical design\"", \""solidworks, autocad, revit\""], \""defining_responsibility_signals\"": [\""lead and manage projects\"", \""oversee design and implementation of mechanical systems\""] , \""confidence\"": \""high\""}""}]",18
430,30,junior,moderate_entry_barrier,Manufacturing Operators,"['machine operation', 'manufacturing processes', 'shift work']","['onsite work', 'no certification required']",high,1.0,1.0,0.667,0.889,3,"operator, shift, machine, 2nd, 3rd, manufacturing, mill, production, engineer, trainee, small, specialist","[{""community_id"": 430, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Manufacturing Operators"", ""defining_skills"": [""machine operation"", ""shift work"", ""manufacturing processes""], ""defining_responsibility_signals"": [""onsite work"", ""no certification required""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 430, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Manufacturing Operators\"", \""defining_skills\"": [\""machine operation\"", \""shift work\"", \""manufacturing processes\""], \""defining_responsibility_signals\"": [\""onsite work\"", \""no certification required\""] , \""confidence\"": \""high\""}""}, {""community_id"": 430, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Manufacturing Operators"", ""defining_skills"": [""CNC"", ""Machine Operation"", ""Shift Work""], ""defining_responsibility_signals"": [""Setup"", ""Production""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 430, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Manufacturing Operators\"", \""defining_skills\"": [\""CNC\"", \""Machine Operation\"", \""Shift Work\""], \""defining_responsibility_signals\"": [\""Setup\"", \""Production\""] , \""confidence\"": \""high\""}""}, {""community_id"": 430, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Machine Operator"", ""defining_skills"": [""machine operation"", ""manufacturing processes"", ""production""], ""defining_responsibility_signals"": [""pre-operation activities"", ""machine operation""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 430, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Machine Operator\"", \""defining_skills\"": [\""machine operation\"", \""manufacturing processes\"", \""production\""], \""defining_responsibility_signals\"": [\""pre-operation activities\"", \""machine operation\""] , \""confidence\"": \""high\""}""}]",18
431,30,junior,moderate_entry_barrier,Refinery Inspector,"['NDT', 'Quality Control', 'Shift Work']","['Maintain Mechanical Integrity', 'Perform Inspections']",high,1.0,1.0,0.667,0.889,3,"technician, quality, inspector, shift, control, ndt, bayway, refinery, 2nd, source, assurance, manufacturing","[{""community_id"": 431, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Refinery Inspector"", ""defining_skills"": [""NDT"", ""Quality Control"", ""Shift Work""], ""defining_responsibility_signals"": [""Maintain Mechanical Integrity"", ""Perform Inspections""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 431, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Refinery Inspector\"", \""defining_skills\"": [\""NDT\"", \""Quality Control\"", \""Shift Work\""], \""defining_responsibility_signals\"": [\""Maintain Mechanical Integrity\"", \""Perform Inspections\""] , \""confidence\"": \""high\""}""}, {""community_id"": 431, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Refinery Inspector"", ""defining_skills"": [""NDT"", ""Quality Control"", ""Shift Work""], ""defining_responsibility_signals"": [""Maintain Mechanical Integrity"", ""Perform Inspections""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 431, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Refinery Inspector\"", \""defining_skills\"": [\""NDT\"", \""Quality Control\"", \""Shift Work\""], \""defining_responsibility_signals\"": [\""Maintain Mechanical Integrity\"", \""Perform Inspections\""] , \""confidence\"": \""high\""}""}, {""community_id"": 431, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Quality Inspector"", ""defining_skills"": [""NDT"", ""Quality Assurance"", ""Manufacturing""], ""defining_responsibility_signals"": [""Shift Work"", ""Control""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 431, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Quality Inspector\"", \""defining_skills\"": [\""NDT\"", \""Quality Assurance\"", \""Manufacturing\""], \""defining_responsibility_signals\"": [\""Shift Work\"", \""Control\""] , \""confidence\"": \""high\""}""}]",18
432,30,mid,moderate_entry_barrier,Civil Infrastructure Project Engineers,"['project management', 'civil engineering', 'water infrastructure']","['leadership', 'licensing']",high,1.0,1.0,0.333,0.778,3,"project, engineer, manager, civil, lead, senior, highway, transportation, engineering, municipal, roadway, water","[{""community_id"": 432, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Civil Infrastructure Project Engineers"", ""defining_skills"": [""civil engineering"", ""project management"", ""water infrastructure""], ""defining_responsibility_signals"": [""leadership"", ""licensing""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 432, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Civil Infrastructure Project Engineers\"", \""defining_skills\"": [\""civil engineering\"", \""project management\"", \""water infrastructure\""], \""defining_responsibility_signals\"": [\""leadership\"", \""licensing\""] , \""confidence\"": \""high\""}""}, {""community_id"": 432, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Civil/Water Project Managers"", ""defining_skills"": [""project management"", ""water/wastewater utility projects"", ""budgeting and proposals""], ""defining_responsibility_signals"": [""lead design and technical aspects"", ""permitting and presentations""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 432, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Civil/Water Project Managers\"", \""defining_skills\"": [\""project management\"", \""water/wastewater utility projects\"", \""budgeting and proposals\""], \""defining_responsibility_signals\"": [\""lead design and technical aspects\"", \""permitting and presentations\""] , \""confidence\"": \""high\""}""}, {""community_id"": 432, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Civil Infrastructure Engineer"", ""defining_skills"": [""civil design"", ""infrastructure"", ""construction projects""], ""defining_responsibility_signals"": [""design"", ""assist""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 432, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Civil Infrastructure Engineer\"", \""defining_skills\"": [\""civil design\"", \""infrastructure\"", \""construction projects\""], \""defining_responsibility_signals\"": [\""design\"", \""assist\""] , \""confidence\"": \""high\""}""}]",18
433,30,junior,moderate_entry_barrier,Respiratory Therapist,"['respiratory care', 'cardiopulmonary procedures', 'equipment maintenance']","['routine therapy', 'diagnostic procedures']",high,1.0,1.0,0.667,0.889,3,"respiratory, therapist, prn, care, practitioner, nights, rehab, reward, staffing, therapy, ltach, pulmonary","[{""community_id"": 433, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Respiratory Therapist"", ""defining_skills"": [""Respiratory Care"", ""Cardiopulmonary Procedures"", ""Equipment Maintenance""], ""defining_responsibility_signals"": [""Therapy"", ""Diagnostic Procedures""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 433, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Respiratory Therapist\"", \""defining_skills\"": [\""Respiratory Care\"", \""Cardiopulmonary Procedures\"", \""Equipment Maintenance\""], \""defining_responsibility_signals\"": [\""Therapy\"", \""Diagnostic Procedures\""] , \""confidence\"": \""high\""}""}, {""community_id"": 433, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Respiratory Therapist - Nights"", ""defining_skills"": [""respiratory care"", ""cardiopulmonary procedures"", ""equipment maintenance""], ""defining_responsibility_signals"": [""routine therapy"", ""diagnostic procedures""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 433, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Respiratory Therapist - Nights\"", \""defining_skills\"": [\""respiratory care\"", \""cardiopulmonary procedures\"", \""equipment maintenance\""], \""defining_responsibility_signals\"": [\""routine therapy\"", \""diagnostic procedures\""] , \""confidence\"": \""high\""}""}, {""community_id"": 433, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Respiratory Therapist"", ""defining_skills"": [""respiratory care"", ""cardiopulmonary procedures"", ""equipment maintenance""], ""defining_responsibility_signals"": [""routine therapy"", ""diagnostic procedures""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 433, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Respiratory Therapist\"", \""defining_skills\"": [\""respiratory care\"", \""cardiopulmonary procedures\"", \""equipment maintenance\""], \""defining_responsibility_signals\"": [\""routine therapy\"", \""diagnostic procedures\""] , \""confidence\"": \""high\""}""}]",18
434,30,mid,moderate_entry_barrier,Civil Engineering & Surveying,"['AutoCAD', 'CAD', 'Land Surveying']","['Project Development', 'Technical Support']",high,0.667,1.0,1.0,0.889,3,"engineer, civil, technician, land, survey, senior, cad, project, development, designer, operator, autocad","[{""community_id"": 434, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Civil Engineering & Surveying"", ""defining_skills"": [""AutoCAD"", ""CAD"", ""Land Surveying""], ""defining_responsibility_signals"": [""Project Development"", ""Technical Support""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 434, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Civil Engineering & Surveying\"", \""defining_skills\"": [\""AutoCAD\"", \""CAD\"", \""Land Surveying\""], \""defining_responsibility_signals\"": [\""Project Development\"", \""Technical Support\""] , \""confidence\"": \""high\""}""}, {""community_id"": 434, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Civil Engineering & Surveying"", ""defining_skills"": [""AutoCAD"", ""Civil 3D"", ""Trimble Business Center (TBC)""], ""defining_responsibility_signals"": [""Construction Staking"", ""Atlas Topo Survey Boundaries""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 434, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Civil Engineering & Surveying\"", \""defining_skills\"": [\""AutoCAD\"", \""Civil 3D\"", \""Trimble Business Center (TBC)\""], \""defining_responsibility_signals\"": [\""Construction Staking\"", \""Atlas Topo Survey Boundaries\""] , \""confidence\"": \""high\""}""}, {""community_id"": 434, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Civil Engineering & Surveying"", ""defining_skills"": [""CAD"", ""Autodesk AutoCAD"", ""Project Management""], ""defining_responsibility_signals"": [""Project Development"", ""Design""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 434, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Civil Engineering & Surveying\"", \""defining_skills\"": [\""CAD\"", \""Autodesk AutoCAD\"", \""Project Management\""], \""defining_responsibility_signals\"": [\""Project Development\"", \""Design\""] , \""confidence\"": \""high\""}""}]",18
