community_id,community_size,dominant_experience_level,entry_accessibility,community_label,defining_skills,defining_responsibility_signals,confidence,level_agreement,access_agreement,label_agreement,overall_agreement,calls_used,top_title_keywords,raw_call_outputs,batch_id
0,1858,mid,moderate_entry_barrier,Nursing,"['nursing', 'medical care', 'patient care']","['leadership', 'certification']",high,1.0,1.0,1.0,1.0,3,"nurse, registered, care, licensed, lpn, practical, nursing, per, days, assistant, unit, med","[{""community_id"": 0, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Nursing"", ""defining_skills"": [""nursing"", ""medical care"", ""patient care""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 0, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Nursing\"", \""defining_skills\"": [\""nursing\"", \""medical care\"", \""patient care\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}, {""community_id"": 0, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Nursing"", ""defining_skills"": [""nursing"", ""medical care"", ""certification""], ""defining_responsibility_signals"": [""leadership"", ""growth""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 0, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Nursing\"", \""defining_skills\"": [\""nursing\"", \""medical care\"", \""certification\""], \""defining_responsibility_signals\"": [\""leadership\"", \""growth\""] , \""confidence\"": \""high\""}""}, {""community_id"": 0, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Nursing"", ""defining_skills"": [""nursing"", ""medical care"", ""patient care""], ""defining_responsibility_signals"": [""leadership"", ""certification""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 0, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Nursing\"", \""defining_skills\"": [\""nursing\"", \""medical care\"", \""patient care\""], \""defining_responsibility_signals\"": [\""leadership\"", \""certification\""] , \""confidence\"": \""high\""}""}]",1
1,1308,mid,moderate_entry_barrier,Sales & Marketing,"['sales', 'marketing', 'business_development']","['customer_relationship_management', 'new_business_development']",high,1.0,1.0,1.0,1.0,3,"sales, manager, representative, salesperson, marketing, development, retail, business, outside, customer, specialist, director","[{""community_id"": 1, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Marketing"", ""defining_skills"": [""sales"", ""marketing"", ""business_development""], ""defining_responsibility_signals"": [""customer_relationship_management"", ""new_business_development""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 1, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Marketing\"", \""defining_skills\"": [\""sales\"", \""marketing\"", \""business_development\""], \""defining_responsibility_signals\"": [\""customer_relationship_management\"", \""new_business_development\""] , \""confidence\"": \""high\""}""}, {""community_id"": 1, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Marketing"", ""defining_skills"": [""sales"", ""marketing"", ""business development""], ""defining_responsibility_signals"": [""customer relationship management"", ""outside sales""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 1, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Marketing\"", \""defining_skills\"": [\""sales\"", \""marketing\"", \""business development\""], \""defining_responsibility_signals\"": [\""customer relationship management\"", \""outside sales\""] , \""confidence\"": \""high\""}""}, {""community_id"": 1, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Marketing"", ""defining_skills"": [""sales"", ""marketing"", ""customer_service""], ""defining_responsibility_signals"": [""lead_follow_up"", ""customer_base_growth""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 1, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Marketing\"", \""defining_skills\"": [\""sales\"", \""marketing\"", \""customer_service\""], \""defining_responsibility_signals\"": [\""lead_follow_up\"", \""customer_base_growth\""] , \""confidence\"": \""high\""}""}]",1
2,1289,mid,moderate_entry_barrier,Accounting & Finance,"['accounting', 'financial', 'payable']","['monthly close process', 'balance sheet reconciliations']",high,1.0,1.0,1.0,1.0,3,"accountant, accounting, senior, manager, staff, specialist, controller, accounts, financial, payable, analyst, assistant","[{""community_id"": 2, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Accounting & Finance"", ""defining_skills"": [""accounting"", ""financial"", ""payable""], ""defining_responsibility_signals"": [""monthly close process"", ""balance sheet reconciliations""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 2, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Accounting & Finance\"", \""defining_skills\"": [\""accounting\"", \""financial\"", \""payable\""], \""defining_responsibility_signals\"": [\""monthly close process\"", \""balance sheet reconciliations\""] , \""confidence\"": \""high\""}""}, {""community_id"": 2, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Accounting & Finance"", ""defining_skills"": [""accounting"", ""financial"", ""payable""], ""defining_responsibility_signals"": [""manages_territory"", ""investigates_discrepancies""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 2, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Accounting & Finance\"", \""defining_skills\"": [\""accounting\"", \""financial\"", \""payable\""], \""defining_responsibility_signals\"": [\""manages_territory\"", \""investigates_discrepancies\""] , \""confidence\"": \""high\""}""}, {""community_id"": 2, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Accounting & Finance"", ""defining_skills"": [""accounting"", ""financial"", ""payable""], ""defining_responsibility_signals"": [""month-end close"", ""financial controls""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 2, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Accounting & Finance\"", \""defining_skills\"": [\""accounting\"", \""financial\"", \""payable\""], \""defining_responsibility_signals\"": [\""month-end close\"", \""financial controls\""] , \""confidence\"": \""high\""}""}]",1
3,857,mid,moderate_entry_barrier,Retail Management,"['sales', 'customer_service', 'team_leadership']","['day-to-day_operations', 'team_motivation']",high,1.0,1.0,1.0,1.0,3,"manager, store, assistant, sales, supervisor, service, lead, customer, retail, cashier, support, representative","[{""community_id"": 3, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Management"", ""defining_skills"": [""sales"", ""customer_service"", ""team_leadership""], ""defining_responsibility_signals"": [""day-to-day_operations"", ""team_motivation""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 3, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Management\"", \""defining_skills\"": [\""sales\"", \""customer_service\"", \""team_leadership\""], \""defining_responsibility_signals\"": [\""day-to-day_operations\"", \""team_motivation\""] , \""confidence\"": \""high\""}""}, {""community_id"": 3, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Management"", ""defining_skills"": [""sales"", ""customer_service"", ""team_leadership""], ""defining_responsibility_signals"": [""assist_in_operations"", ""perform_additional_duties""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 3, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Management\"", \""defining_skills\"": [\""sales\"", \""customer_service\"", \""team_leadership\""], \""defining_responsibility_signals\"": [\""assist_in_operations\"", \""perform_additional_duties\""] , \""confidence\"": \""high\""}""}, {""community_id"": 3, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Retail Management"", ""defining_skills"": [""sales"", ""customer_service"", ""team_leadership""], ""defining_responsibility_signals"": [""store_operations"", ""team_management""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 3, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Retail Management\"", \""defining_skills\"": [\""sales\"", \""customer_service\"", \""team_leadership\""], \""defining_responsibility_signals\"": [\""store_operations\"", \""team_management\""] , \""confidence\"": \""high\""}""}]",1
4,787,mid,moderate_entry_barrier,Construction Project Management,"['project management', 'construction', 'engineering']","['cost management', 'schedule management']",high,1.0,1.0,1.0,1.0,3,"project, manager, construction, senior, engineer, superintendent, estimator, assistant, director, engineering, coordinator, management","[{""community_id"": 4, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Construction Project Management"", ""defining_skills"": [""project management"", ""construction management"", ""stakeholder communication""], ""defining_responsibility_signals"": [""cost management"", ""schedule management""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 4, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Construction Project Management\"", \""defining_skills\"": [\""project management\"", \""construction management\"", \""stakeholder communication\""], \""defining_responsibility_signals\"": [\""cost management\"", \""schedule management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 4, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Construction Project Management"", ""defining_skills"": [""project management"", ""construction"", ""engineering""], ""defining_responsibility_signals"": [""coordination"", ""management""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 4, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Construction Project Management\"", \""defining_skills\"": [\""project management\"", \""construction\"", \""engineering\""], \""defining_responsibility_signals\"": [\""coordination\"", \""management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 4, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Construction Project Management"", ""defining_skills"": [""construction"", ""project management"", ""engineering""], ""defining_responsibility_signals"": [""leadership"", ""bachelor_degree""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 4, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Construction Project Management\"", \""defining_skills\"": [\""construction\"", \""project management\"", \""engineering\""], \""defining_responsibility_signals\"": [\""leadership\"", \""bachelor_degree\""] , \""confidence\"": \""high\""}""}]",1
5,684,junior,moderate_entry_barrier,Warehouse Operations,"['warehouse', 'driver', 'Forklift']","['Order Picking', 'Inventory Management']",high,1.0,1.0,1.0,1.0,3,"warehouse, driver, shift, store, operator, delivery, handler, 2nd, material, shipping, forklift, supervisor","[{""community_id"": 5, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Warehouse Operations"", ""defining_skills"": [""Forklift"", ""Material Handling"", ""SAP""], ""defining_responsibility_signals"": [""Order Picking"", ""Inventory Management""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 5, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Warehouse Operations\"", \""defining_skills\"": [\""Forklift\"", \""Material Handling\"", \""SAP\""], \""defining_responsibility_signals\"": [\""Order Picking\"", \""Inventory Management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 5, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Warehouse Operations"", ""defining_skills"": [""warehouse"", ""driver"", ""shift""], ""defining_responsibility_signals"": [""material handling"", ""delivery""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 5, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Warehouse Operations\"", \""defining_skills\"": [\""warehouse\"", \""driver\"", \""shift\""], \""defining_responsibility_signals\"": [\""material handling\"", \""delivery\""] , \""confidence\"": \""high\""}""}, {""community_id"": 5, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Warehouse Operations"", ""defining_skills"": [""warehouse"", ""driver"", ""shift management""], ""defining_responsibility_signals"": [""stocking"", ""counting and moving products""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 5, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Warehouse Operations\"", \""defining_skills\"": [\""warehouse\"", \""driver\"", \""shift management\""], \""defining_responsibility_signals\"": [\""stocking\"", \""counting and moving products\""] , \""confidence\"": \""high\""}""}]",1
6,611,junior,moderate_entry_barrier,Maintenance Technician,"['maintenance', 'technician', 'service']","['equipment maintenance', 'facility maintenance']",high,1.0,1.0,0.667,0.889,3,"technician, maintenance, service, mechanic, shift, manager, tech, industrial, facilities, field, iii, supervisor","[{""community_id"": 6, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Industrial Maintenance Technician"", ""defining_skills"": [""maintenance"", ""repair"", ""installation""], ""defining_responsibility_signals"": [""equipment maintenance"", ""facility maintenance""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 6, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Industrial Maintenance Technician\"", \""defining_skills\"": [\""maintenance\"", \""repair\"", \""installation\""], \""defining_responsibility_signals\"": [\""equipment maintenance\"", \""facility maintenance\""] , \""confidence\"": \""high\""}""}, {""community_id"": 6, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Maintenance Technician"", ""defining_skills"": [""technician"", ""maintenance"", ""service""], ""defining_responsibility_signals"": [""leadership"", ""problem_solving""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 6, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Maintenance Technician\"", \""defining_skills\"": [\""technician\"", \""maintenance\"", \""service\""], \""defining_responsibility_signals\"": [\""leadership\"", \""problem_solving\""] , \""confidence\"": \""high\""}""}, {""community_id"": 6, ""dominant_experience_level"": ""junior"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Maintenance Technician"", ""defining_skills"": [""technician"", ""maintenance"", ""service""], ""defining_responsibility_signals"": [""shift"", ""field""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 6, \""dominant_experience_level\"": \""junior\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Maintenance Technician\"", \""defining_skills\"": [\""technician\"", \""maintenance\"", \""service\""], \""defining_responsibility_signals\"": [\""shift\"", \""field\""] , \""confidence\"": \""high\""}""}]",1
7,553,mid,moderate_entry_barrier,Data Engineer,"['data engineering', 'business analytics', 'data modeling']","['collaboration', 'specialized teamwork']",high,1.0,1.0,0.667,0.889,3,"data, engineer, analyst, senior, business, analytics, manager, architect, developer, intelligence, scientist, lead","[{""community_id"": 7, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Data Analytics"", ""defining_skills"": [""data engineering"", ""business analytics"", ""data modeling""], ""defining_responsibility_signals"": [""collaboration"", ""specialized teamwork""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 7, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Data Analytics\"", \""defining_skills\"": [\""data engineering\"", \""business analytics\"", \""data modeling\""], \""defining_responsibility_signals\"": [\""collaboration\"", \""specialized teamwork\""] , \""confidence\"": \""high\""}""}, {""community_id"": 7, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Data Engineer"", ""defining_skills"": [""data engineering"", ""data analysis"", ""innovative data solutions""], ""defining_responsibility_signals"": [""support and maintain data products"", ""principal's human resources value stream""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 7, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Data Engineer\"", \""defining_skills\"": [\""data engineering\"", \""data analysis\"", \""innovative data solutions\""], \""defining_responsibility_signals\"": [\""support and maintain data products\"", \""principal's human resources value stream\""] , \""confidence\"": \""high\""}""}, {""community_id"": 7, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Data Engineer"", ""defining_skills"": [""Data Factory"", ""Log Analytics"", ""DataBricks""], ""defining_responsibility_signals"": [""Designs, Codes, Tests and Implements"", ""Develops System Documentation""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 7, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Data Engineer\"", \""defining_skills\"": [\""Data Factory\"", \""Log Analytics\"", \""DataBricks\""], \""defining_responsibility_signals\"": [\""Designs, Codes, Tests and Implements\"", \""Develops System Documentation\""] , \""confidence\"": \""high\""}""}]",1
8,482,mid,moderate_entry_barrier,Sales & Marketing,"['consultative_sales', 'customer_adoption', 'customer_growth']","['onboarding_customers', 'growing_customers']",high,1.0,1.0,1.0,1.0,3,"account, executive, manager, sales, senior, business, development, director, enterprise, marketing, representative, specialist","[{""community_id"": 8, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Marketing"", ""defining_skills"": [""consultative_sales"", ""customer_adoption"", ""customer_growth""], ""defining_responsibility_signals"": [""onboarding_customers"", ""growing_customers""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 8, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Marketing\"", \""defining_skills\"": [\""consultative_sales\"", \""customer_adoption\"", \""customer_growth\""], \""defining_responsibility_signals\"": [\""onboarding_customers\"", \""growing_customers\""] , \""confidence\"": \""high\""}""}, {""community_id"": 8, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Marketing"", ""defining_skills"": [""sales"", ""marketing"", ""business development""], ""defining_responsibility_signals"": [""qualifying"", ""demonstrating solutions""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 8, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Marketing\"", \""defining_skills\"": [\""sales\"", \""marketing\"", \""business development\""], \""defining_responsibility_signals\"": [\""qualifying\"", \""demonstrating solutions\""] , \""confidence\"": \""high\""}""}, {""community_id"": 8, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Sales & Marketing"", ""defining_skills"": [""strategic_account_management"", ""territory_sales"", ""technology_evangelism""], ""defining_responsibility_signals"": [""customer_facing"", ""growth_driving""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 8, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Sales & Marketing\"", \""defining_skills\"": [\""strategic_account_management\"", \""territory_sales\"", \""technology_evangelism\""], \""defining_responsibility_signals\"": [\""customer_facing\"", \""growth_driving\""] , \""confidence\"": \""high\""}""}]",1
9,472,mid,moderate_entry_barrier,Banking - Personal,"['Financial Services', 'Relationship Building', 'Client Management']","['Client Interaction', 'Sales/Service Targets']",high,1.0,1.0,0.333,0.778,3,"banker, personal, teller, relationship, client, roving, financial, district, center, branch, manager, banking","[{""community_id"": 9, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Banking - Personal"", ""defining_skills"": [""Relationship Building"", ""Financial Services"", ""Client Management""], ""defining_responsibility_signals"": [""Client Interaction"", ""Sales/Service Targets""], ""confidence"": ""high"", ""rep_rank"": 1, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 9, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Banking - Personal\"", \""defining_skills\"": [\""Relationship Building\"", \""Financial Services\"", \""Client Management\""], \""defining_responsibility_signals\"": [\""Client Interaction\"", \""Sales/Service Targets\""] , \""confidence\"": \""high\""}""}, {""community_id"": 9, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Banking - Personal Banker"", ""defining_skills"": [""Relationship Building"", ""Financial Services"", ""Client Management""], ""defining_responsibility_signals"": [""Roving"", ""Branch Management""], ""confidence"": ""high"", ""rep_rank"": 2, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 9, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Banking - Personal Banker\"", \""defining_skills\"": [\""Relationship Building\"", \""Financial Services\"", \""Client Management\""], \""defining_responsibility_signals\"": [\""Roving\"", \""Branch Management\""] , \""confidence\"": \""high\""}""}, {""community_id"": 9, ""dominant_experience_level"": ""mid"", ""entry_accessibility"": ""moderate_entry_barrier"", ""community_label"": ""Banking - Personal Services"", ""defining_skills"": [""Relationship Management"", ""Client Handling"", ""Financial Services""], ""defining_responsibility_signals"": [""Client Interaction"", ""Sales/Service Targets""], ""confidence"": ""high"", ""rep_rank"": 3, ""attempt"": 1, ""raw_output"": ""{\""community_id\"": 9, \""dominant_experience_level\"": \""mid\"", \""entry_accessibility\"": \""moderate_entry_barrier\"", \""community_label\"": \""Banking - Personal Services\"", \""defining_skills\"": [\""Relationship Management\"", \""Client Handling\"", \""Financial Services\""], \""defining_responsibility_signals\"": [\""Client Interaction\"", \""Sales/Service Targets\""] , \""confidence\"": \""high\""}""}]",1
